Client,Practice Area,Matter Number,Matter Description,Responsible Attorney,Originating Attorney,Billable,Latest Bill,Attorney Name,Role,Practice Group ,Practice Description,Summary ,Area of Expertise,Education,Contact
StormAdvisor,,01085-StormAdvisor-General Corporate Matters,General Corporate Matters,Dori Karjian,Dori Karjian,Yes,12/5/22,,,,,,,,
StormAdvisor,Trademark/Copyright,01901-StormAdvisor-Trademark Services,Trademark Services,Alexander Slafkosky,Dori Karjian,Yes,6/5/23,,,,,,,,
"Seattle Venture Group, LLC",,"01086-Seattle Venture Group, LLC-General Corporate Matters",General Corporate Matters,Dori Karjian,Dori Karjian,Yes,,,,,,,,,
"TenForty, Inc.",,"01087-TenForty, Inc.-General Corporate Matters",General Corporate Matters,Dori Karjian,Dori Karjian,Yes,,,,,,,,,
Adam Cecchetti,,01088-Cecchetti-General Corporate Matters,General Corporate Matters,Dori Karjian,Dori Karjian,Yes,4/5/22,,,,,,,,
DigiCoffer,,01089-DigiCoffer-General Corporate Matters,General Corporate Matters,Dori Karjian,Dori Karjian,Yes,,,,,,,,,
Bits Card Inc.,,01090-Bits Card Inc.-Membership Agreement/Product Flow,Membership Agreement/Product Flow,,,Yes,,,,,,,,,
KlaDot Inc.,,01091-KlaDot Inc.-Advice and Assistance with Establishing a  Digital Banking Platform,Advice and Assistance with Establishing a  Digital Banking Platform,Cary Ullman,Cary Ullman,Yes,7/7/23,,,,,,,,
Naeem Mohaiemen,,01092-Mohaiemen-Immediate Relative Green Card for Mrs. Nilufar Mohaiemen,Immediate Relative Green Card for Mrs. Nilufar Mohaiemen,Alfred Bridi,Alfred Bridi,Yes,1/25/22,,,,,,,,
Isaac Lymon,,01093-Lymon-Separation from Raxplay,Separation from Raxplay,Brian McEvoy,Brian McEvoy,Yes,4/5/22,,,,,,,,
Alchemist Arts LLC,,01094-Alchemist Arts LLC-Financing and outside general counsel,Financing and outside general counsel,Chris Jones,Chris Jones,Yes,3/7/22,,,,,,,,
"Lindsey Graham ""The Patriot Barbie""",,"01096-Graham ""The Patriot Barbie""-The Patriot Barbie - IP and General Counsel Services",The Patriot Barbie - IP and General Counsel Services,Matthew Herlihy,Matthew Herlihy,Yes,2/3/22,,,,,,,,
"Lindsey Graham ""The Patriot Barbie""",,"01195-Graham ""The Patriot Barbie""-Trademark - US TM PRETTY LITTLE PATRIOT",Trademark - US TM PRETTY LITTLE PATRIOT,Greg Mayer,Matthew Herlihy,Yes,4/15/22,,,,,,,,
Ravel,,01098-Ravel-Initial Fundraising Round and related corporate matters,Initial Fundraising Round and related corporate matters,Brian McEvoy,Brian McEvoy,Yes,10/5/22,,,,,,,,
"Prudent Fiduciary Services, LLC and Miguel Paredes",,"01103-Prudent Fiduciary Services, LLC and Miguel Paredes-Western Global Airlines, Inc. ESOP Litigation","Western Global Airlines, Inc. ESOP Litigation",Natasha Fedder,Natasha Fedder,Yes,3/8/22,,,,,,,,
Vrolio Corporation,,01108-Vrolio Corporation-General Corporate,General Corporate,Lindsey Altmeyer,Scale LLP,Yes,,,,,,,,,
Alpine Corp.,,01109-Alpine Corp.-Mammoth Lakes development,Mammoth Lakes development,Marissa Fox,Marissa Fox,Yes,6/3/22,,,,,,,,
Alpine Corp.,Litigation,01553-Alpine Corp.-Mono County Litigation,Mono County Litigation,Melissa Balough,Melissa Balough,Yes,7/8/22,,,,,,,,
Alpine Corp.,Litigation,01623-Alpine Corp.-General Litigation Counseling,General Litigation Counseling,Melissa Balough,Melissa Balough,Yes,,,,,,,,,
Rescued Hearts Ranch,,01110-Rescued Hearts Ranch-Rescued Hearts Ranch,Rescued Hearts Ranch,Marissa Fox,Marissa Fox,Yes,8/3/22,,,,,,,,
Unusual Whales,,01112-Unusual Whales-Responding to an inquiry from US law enforcement authorities,Responding to an inquiry from US law enforcement authorities,Samer Korkor,Samer Korkor,Yes,5/7/24,,,,,,,,
Unusual Whales,Corporate & Securities,01537-Unusual Whales-M&A Process (Steve Forbes Time),M&A Process (Steve Forbes Time),Steve Forbes,Steve Forbes,Yes,6/12/23,,,,,,,,
Unusual Whales,Corporate & Securities,02048-Unusual Whales-M&A Process (Add'l Attorney Time),M&A Process (Add'l Attorney Time),Steve Forbes,Steve Forbes,Yes,3/11/24,,,,,,,,
Unusual Whales,Corporate & Securities,02306-Unusual Whales-Equity Incentive Plan,Equity Incentive Plan,Steve Forbes,Steve Forbes,Yes,6/7/24,,,,,,,,
Unusual Whales,Litigation,02547-Unusual Whales-Subversive Penalty Claim,Subversive Penalty Claim,Steve Forbes,Steve Forbes,Yes,7/11/24,,,,,,,,
Unusual Whales,Corporate & Securities,03770-Unusual Whales-Social Media Platform Offerings,Social Media Platform Offerings,Steve Forbes,Steve Forbes,Yes,12/8/23,,,,,,,,
Unusual Whales,Corporate & Securities,04599-Unusual Whales-2024 Transaction,2024 Transaction,Steve Forbes,Steve Forbes,Yes,6/7/24,,,,,,,,
Unusual Whales,Corporate & Securities,05168-Unusual Whales-General Corporate,General Corporate,Steve Forbes,Steve Forbes,Yes,7/11/24,,,,,,,,
LaFiya TeleHealth LLC,,01113-LaFiya TeleHealth LLC-Advice and Assistance with Operating a TeleHealth Business,Advice and Assistance with Operating a TeleHealth Business,Cary Ullman,Cary Ullman,Yes,6/30/22,,,,,,,,
"Unlock Technologies, Inc.",,"01114-Unlock Technologies, Inc.-Licensing Strategy",Licensing Strategy,Heather Cantua,Heather Cantua,Yes,2/3/22,,,,,,,,
"Overmoon, Inc.",,"01115-Overmoon, Inc.-General Counseling",General Counseling,Melissa Balough,Melissa Balough,Yes,7/8/24,,,,,,,,
"The Landing Home, Inc.",,"01119-The Landing Home, Inc.-Trademark - US TM THE LANDING (Cl. 42)",Trademark - US TM THE LANDING (Cl. 42),Amy Duvanich,Amy Duvanich,Yes,4/28/22,,,,,,,,
"The Landing Home, Inc.",,"01120-The Landing Home, Inc.-Trademark - US TM THE LANDING (Cl. 35 and 36)",Trademark - US TM THE LANDING (Cl. 35 and 36),Amy Duvanich,Amy Duvanich,Yes,2/3/22,,,,,,,,
"The Landing Home, Inc.",*No Practice Group Selected / Restricted Matter,"01121-The Landing Home, Inc.-Trademark - US TM LANDING (Cl. 9, 35, 38, 42, and 45)","Trademark - US TM LANDING (Cl. 9, 35, 38, 42, and 45)",Amy Duvanich,Amy Duvanich,Yes,6/5/23,,,,,,,,
"The Landing Home, Inc.",Corporate & Securities,"01682-The Landing Home, Inc.-Outside General Counsel",Outside General Counsel,Amy Duvanich,Amy Duvanich,Yes,4/3/24,,,,,,,,
"The Landing Home, Inc.",Corporate & Securities,"04420-The Landing Home, Inc.-Corporate",Corporate,Amy Duvanich,Amy Duvanich,Yes,4/3/24,,,,,,,,
Vectorspace AI Ltd.,,"01122-Vector Space Biosciences, Inc.-Tax Advice",Tax Advice,Annie Jeong,Annie Jeong,Yes,3/4/22,,,,,,,,
Vectorspace AI Ltd.,Corporate & Securities,01856-Vectorspace AI Ltd.-Token offering/securities regulatory guidance and other corporate matters,Token offering/securities regulatory guidance and other corporate matters,Dori Karjian,Dori Karjian,Yes,2/5/24,,,,,,,,
Elizabeth Nartker,,01123-Nartker-Counsel and representation regarding brokerage dual representation,Counsel and representation regarding brokerage dual representation,Melissa Balough,Melissa Balough,Yes,1/9/23,,,,,,,,
Roomful Co.,,01124-Roomful Co.-Corporate Matters,Corporate Matters,Chip Sloan,Chip Sloan,Yes,3/7/22,,,,,,,,
Cribequity,,01125-Cribequity-Consumer documents,Consumer documents,Heather Cantua,Heather Cantua,Yes,2/3/22,,,,,,,,
The McIntyre Companies,,01132-The McIntyre Companies-General Business Matters,General Business Matters,Dori Karjian,Dori Karjian,Yes,7/8/24,,,,,,,,
"GVS Portfolio I, LLC",,"01133-GVS Portfolio I, LLC-GVS Refinance 2022",GVS Refinance 2022,Brian Elliott,Brian Elliott,Yes,2/3/22,,,,,,,,
Kwiqtap LLC,,01134-Kwiqtap LLC-LLC Agreement and General Advice,LLC Agreement and General Advice,Scale LLP,Scale LLP,Yes,3/3/22,,,,,,,,
"Opti Education, Inc.",,"01137-Opti Education, Inc.-General Corporate",General Corporate,Johnny Chen,Johnny Chen,Yes,3/7/22,,,,,,,,
Jacquie Arocha-Pietri,,01138-Arocha-Pietri-Jacquie Arocha-Pietri Naturalization,Jacquie Arocha-Pietri Naturalization,Alfred Bridi,Alfred Bridi,Yes,10/5/23,,,,,,,,
Empower Retirement,,01139-Empower Retirement-Misdirected Benefits Payment from Diaz Account in Lockheed Martin Corporation Salaried Savings Plan,Misdirected Benefits Payment from Diaz Account in Lockheed Martin Corporation Salaried Savings Plan,Natasha Fedder,Natasha Fedder,Yes,7/15/24,,,,,,,,
Empower Retirement,Litigation,01976-Empower Retirement-Estate of Bob A. Omagbemi,Estate of Bob A. Omagbemi,Natasha Fedder,Natasha Fedder,Yes,12/5/23,,,,,,,,
"RGH Construction, LLC",,"01140-RGH Construction, LLC-Pre-litigation consulting regarding Stottarts",Pre-litigation consulting regarding Stottarts,Melissa Balough,Melissa Balough,Yes,8/4/23,,,,,,,,
"RGH Construction, LLC",Litigation,"02225-RGH Construction, LLC-General Business Counseling",General Business Counseling,Melissa Balough,Melissa Balough,Yes,6/8/23,,,,,,,,
"RGH Construction, LLC",Litigation,"02459-RGH Construction, LLC-Stoddart Litigation",Stoddart Litigation,Melissa Balough,Melissa Balough,Yes,7/8/24,,,,,,,,
"The Superior Sauna Company, LLC",,"01141-The Superior Sauna Company, LLC-Acquisition of Assets of Superior Sauna & Steam MFG and C&M Properties of Ashland LLC",Acquisition of Assets of Superior Sauna & Steam MFG and C&M Properties of Ashland LLC,Brian McEvoy,Brian McEvoy,Yes,4/5/22,,,,,,,,
"The Superior Sauna Company, LLC",Corporate & Securities,"01689-The Superior Sauna Company, LLC-General Corporate Counsel",General Corporate Counsel,Brian McEvoy,Brian McEvoy,Yes,6/5/24,,,,,,,,
"The Superior Sauna Company, LLC",Patents,"01785-The Superior Sauna Company, LLC-Patent application for a pre-fab sauna",Patent application for a pre-fab sauna,Alexander Slafkosky,Brian McEvoy,Yes,6/5/24,,,,,,,,
"Y2X, Inc.",,"01142-Y2X, Inc.-General Business Matters",General Business Matters,Dori Karjian,Dori Karjian,Yes,5/4/22,,,,,,,,
"Y2X Life Sciences, LLC",,"01143-Y2X Life Sciences, LLC-General Business Matters",General Business Matters,Dori Karjian,Dori Karjian,Yes,7/6/23,,,,,,,,
"Y2X Digital Solutions, LLC",,"01144-Y2X Digital Solutions, LLC-General Business Matters",General Business Matters,Dori Karjian,Dori Karjian,Yes,7/8/24,,,,,,,,
"Pison Technology, Inc.",,"01146-Pison Technology, Inc.-Intellectual property services",Intellectual property services,Eric Blatt,Eric Blatt,Yes,7/12/24,,,,,,,,
"Pison Technology, Inc.",*No Practice Group Selected / Restricted Matter,"01228-Pison Technology, Inc.-Trademark - US TM VULCAN",Trademark - US TM VULCAN,Lynne Boisineau,Eric Blatt,Yes,7/5/23,,,,,,,,
"Pison Technology, Inc.",*No Practice Group Selected / Restricted Matter,"01229-Pison Technology, Inc.-US TM CONTROLBAND",Trademark - US TM CONTROLBAND,Lynne Boisineau,Eric Blatt,Yes,7/5/23,,,,,,,,
"Pison Technology, Inc.",Trademark/Copyright,"01269-Pison Technology, Inc.-US TM HAND IN THE CLOUD",US TM HAND IN THE CLOUD,Lynne Boisineau,Eric Blatt,Yes,5/3/23,,,,,,,,
"Pison Technology, Inc.",Trademark/Copyright,"01321-Pison Technology, Inc.-Trademark - US TM NEURAL MOUSE",Trademark - US TM NEURAL MOUSE,Lynne Boisineau,Eric Blatt,Yes,3/14/22,,,,,,,,
"Pison Technology, Inc.",Trademark/Copyright,"01322-Pison Technology, Inc.-Trademark - US TM NEURAL CONTROLLER",Trademark - US TM NEURAL CONTROLLER,Lynne Boisineau,Eric Blatt,Yes,3/14/22,,,,,,,,
"Pison Technology, Inc.",Trademark/Copyright,"01323-Pison Technology, Inc.-Trademark - US TM NEURAL TRIGGER",Trademark - US TM NEURAL TRIGGER,Lynne Boisineau,Eric Blatt,Yes,3/14/22,,,,,,,,
"Pison Technology, Inc.",Trademark/Copyright,"01324-Pison Technology, Inc.-Trademark - US TM 3D SWIPING",Trademark - US TM 3D SWIPING,Lynne Boisineau,Eric Blatt,Yes,3/14/22,,,,,,,,
"Pison Technology, Inc.",Trademark/Copyright,"01325-Pison Technology, Inc.-Trademark - US TM NEURAL PROCESSOR",Trademark - US TM NEURAL PROCESSOR,Lynne Boisineau,Eric Blatt,Yes,3/14/22,,,,,,,,
"Pison Technology, Inc.",Corporate & Securities,"01527-Pison Technology, Inc.-General Corporate Advice",General Corporate Advice,Eric Blatt,Eric Blatt,Yes,4/11/24,,,,,,,,
"Pison Technology, Inc.",Corporate & Securities,"01574-Pison Technology, Inc.-New Patent Filings - Project 1",New Patent Filings - Project 1,Eric Blatt,Eric Blatt,Yes,10/4/22,,,,,,,,
"Pison Technology, Inc.",Patents,"01686-Pison Technology, Inc.-New Patent Filings - Project 2",New Patent Filings - Project 2,Eric Blatt,Eric Blatt,Yes,2/2/23,,,,,,,,
"Pison Technology, Inc.",Corporate & Securities,"01726-Pison Technology, Inc.-Employment and Consulting Advice",Employment and Consulting Advice,Eric Blatt,Eric Blatt,Yes,3/6/24,,,,,,,,
"Pison Technology, Inc.",Trademark/Copyright,"01964-Pison Technology, Inc.-Neural Front End - Trademark",Neural Front End - Trademark,Alexander Slafkosky,Eric Blatt,Yes,1/10/23,,,,,,,,
"Pison Technology, Inc.",Trademark/Copyright,"01965-Pison Technology, Inc.-Natural Gesture Language Control",Natural Gesture Language Control,Alexander Slafkosky,Eric Blatt,Yes,1/10/23,,,,,,,,
"Pison Technology, Inc.",Trademark/Copyright,"01966-Pison Technology, Inc.-Natural Gesture Language Processing - Trademark",Natural Gesture Language Processing - Trademark,Alexander Slafkosky,Eric Blatt,Yes,1/10/23,,,,,,,,
"Pison Technology, Inc.",Trademark/Copyright,"01967-Pison Technology, Inc.-Gesturize - Trademark",Gesturize - Trademark,Alexander Slafkosky,Eric Blatt,Yes,1/10/23,,,,,,,,
"Pison Technology, Inc.",Trademark/Copyright,"02037-Pison Technology, Inc.-Trademark - US TM - Neural Performance",Trademark - US TM - Neural Performance,Alexander Slafkosky,Eric Blatt,Yes,2/2/23,,,,,,,,
"Pison Technology, Inc.",Patents,"02110-Pison Technology, Inc.-Patent Application: On-Chip Rapid Classifier",Patent Application: On-Chip Rapid Classifier,Eric Blatt,Eric Blatt,Yes,9/11/23,,,,,,,,
"Pison Technology, Inc.",Patents,"02111-Pison Technology, Inc.-Patent Application: ""Joystick"" Gesture","Patent Application: ""Joystick"" Gesture",Eric Blatt,Eric Blatt,Yes,3/9/23,,,,,,,,
"Pison Technology, Inc.",Patents,"02279-Pison Technology, Inc.-Mental Acuity - Patent Application",Mental Acuity - Patent Application,Eric Blatt,Eric Blatt,Yes,5/3/23,,,,,,,,
"Pison Technology, Inc.",Trademark/Copyright,"02293-Pison Technology, Inc.-Passive PVT Trademark",Passive PVT Trademark,Alexander Slafkosky,Eric Blatt,Yes,5/3/23,,,,,,,,
"Pison Technology, Inc.",Patents,"02353-Pison Technology, Inc.-ALS Biomarker Patent Application",ALS Biomarker Patent Application,Eric Blatt,Eric Blatt,Yes,4/3/24,,,,,,,,
"Pison Technology, Inc.",Trademark/Copyright,"03381-Pison Technology, Inc.-Trademark Portfolio",Trademark Portfolio,Eric Blatt,Eric Blatt,Yes,2/5/24,,,,,,,,
"Pison Technology, Inc.",Litigation,"03419-Pison Technology, Inc.-Post-Government Employment",Post-Government Employment,Tim Furin,Tim Furin,Yes,,,,,,,,,
"Pison Technology, Inc.",Patents,"03642-Pison Technology, Inc.-Pre-Motor Time Patent Application",Pre-Motor Time Patent Application,Eric Blatt,Eric Blatt,Yes,12/5/23,,,,,,,,
"Pison Technology, Inc.",Corporate & Securities,"03802-Pison Technology, Inc.-Data Privacy Review",Data Privacy Review,Eric Blatt,Eric Blatt,Yes,7/11/24,,,,,,,,
"Pison Technology, Inc.",Patents,"03890-Pison Technology, Inc.-VR & PMT Patent Application",VR & PMT Patent Application,Eric Blatt,Eric Blatt,Yes,2/5/24,,,,,,,,
"Pison Technology, Inc.",Patents,"04279-Pison Technology, Inc.-iNDTact Patent Analysis",iNDTact Patent Analysis,Eric Blatt,Eric Blatt,Yes,2/5/24,,,,,,,,
"Pison Technology, Inc.",Patents,"05227-Pison Technology, Inc.-Patent Project - TABA",Patent Project - TABA,,Eric Blatt,Yes,7/8/24,,,,,,,,
"Calabazas Creek Research, Inc.",,"01147-Calabazas Creek Research, Inc.-US ITER Dispute",US ITER Dispute,Eric Blatt,Eric Blatt,Yes,5/3/23,,,,,,,,
"Attochron, LLC",,"01148-Attochron, LLC-Intellectual property services",Intellectual property services,Eric Blatt,Eric Blatt,Yes,7/8/24,,,,,,,,
"Attochron, LLC",Corporate & Securities,"01768-Attochron, LLC-Attochron - Amphenol Joint Development Agreement",Attochron - Amphenol Joint Development Agreement,Eric Blatt,Eric Blatt,Yes,12/15/22,,,,,,,,
"Attochron, LLC",Corporate & Securities,"01788-Attochron, LLC-General corporate advice",General corporate advice,Eric Blatt,Eric Blatt,Yes,7/8/24,,,,,,,,
"Attochron, LLC",Patents,"02144-Attochron, LLC-SLED + EDFA",SLED + EDFA,Eric Blatt,Eric Blatt,Yes,8/4/23,,,,,,,,
"Attochron, LLC",Corporate & Securities,"03356-Attochron, LLC-Advice re: Operating Agreement, Voting Trust Agreement, and Loan Conversion","Advice re: Operating Agreement, Voting Trust Agreement, and Loan Conversion",Eric Blatt,Eric Blatt,Yes,8/4/23,,,,,,,,
"Attochron, LLC",Patents,"03383-Attochron, LLC-Broadband Family of Patents",Broadband Family of Patents,Alexander Slafkosky,Alexander Slafkosky,Yes,2/5/24,,,,,,,,
"Attochron, LLC",Trademark/Copyright,"03534-Attochron, LLC-IP Services: Trademark Services",IP Services: Trademark Services,Alexander Slafkosky,Alexander Slafkosky,Yes,6/4/24,,,,,,,,
"Attochron, LLC",Trademark/Copyright,"03868-Attochron, LLC-Upgrade Paths, Split head, multi-detector patent effort","Upgrade Paths, Split head, multi-detector patent effort",Alexander Slafkosky,Alexander Slafkosky,Yes,2/5/24,,,,,,,,
"Attochron, LLC",Corporate & Securities,"04549-Attochron, LLC-Corporate Bookkeeping",Corporate Bookkeeping,Alexander Slafkosky,Alexander Slafkosky,Yes,,,,,,,,,
"Attochron, LLC",Corporate & Securities,"05193-Attochron, LLC-Immigration Services",Immigration Services,,Alexander Slafkosky,Yes,,,,,,,,,
"Attochron, LLC",Patents,"05316-Attochron, LLC-RF over FSO",RF over FSO,,Eric Blatt,Yes,,,,,,,,,
"Quickcode.ai, Inc.",,"01149-Quickcode.ai, Inc.-SBIR Novation",SBIR Novation,Eric Blatt,Eric Blatt,Yes,5/12/22,,,,,,,,
Memzyme LLC,,01150-Memzyme LLC-Intellectual property services,Intellectual property services,Eric Blatt,Eric Blatt,Yes,7/8/24,,,,,,,,
Memzyme LLC,Patents,01739-Memzyme LLC-Patent- Selectively Permeable Membrane with Nanosphere Layer,Selectively Permeable Membrane with Nanosphere Layer,Eric Blatt,Eric Blatt,Yes,1/8/24,,,,,,,,
Memzyme LLC,Patents,03993-Memzyme LLC-Catalyst-Assisted Membrane System,Catalyst-Assisted Membrane System,Brian Detwiler,Eric Blatt,Yes,2/5/24,,,,,,,,
"LumosTech, Inc.",,"01151-LumosTech, Inc.-Intellectual property services",Intellectual property services,Eric Blatt,Eric Blatt,Yes,7/8/24,,,,,,,,
"LumosTech, Inc.",Corporate & Securities,"04530-LumosTech, Inc.-General Legal Counsel, Commercial Contract Drafting","General Legal Counsel, Commercial Contract Drafting",,Emma Thompson,Yes,4/12/24,,,,,,,,
"Nebula Compute, Inc.",,"01152-Nebula Compute, Inc.-Intellectual property services",Intellectual property and government contracting services,Eric Blatt,Eric Blatt,Yes,8/2/22,,,,,,,,
"Nebula Compute, Inc.",Corporate & Securities,"01294-Nebula Compute, Inc.-Export control advisory",Export control advisory,Eric Blatt,Eric Blatt,Yes,8/2/22,,,,,,,,
"Advanced Remote Sensing, Inc.",,"01153-Advanced Remote Sensing, Inc.-Intellectual property services",Intellectual property services,Eric Blatt,Eric Blatt,Yes,7/8/24,,,,,,,,
"RAPA Technologies, LLC",,"01154-RAPA Technologies, LLC-Intellectual property services",Intellectual property services,,Alexander Slafkosky,Yes,7/8/24,,,,,,,,
"RAPA Technologies, LLC",Corporate & Securities,"01915-RAPA Technologies, LLC-IP Services Regarding Rigid Envelope and Sensor Technology",IP Services Regarding Rigid Envelope and Sensor Technology,Eric Blatt,Eric Blatt,Yes,4/3/24,,,,,,,,
Bean Bakery LLC,,01155-Bean Bakery LLC-Intellectual property services,Intellectual property services,Eric Blatt,Eric Blatt,Yes,9/6/23,,,,,,,,
Collectible Holdings Inc. d/b/a Dibbs,,01156-Collectible Holdings Inc. d/b/a Dibbs-Intellectual property services,Intellectual property services,Eric Blatt,Eric Blatt,Yes,7/8/24,,,,,,,,
Katie Rosenberg,,01157-Rosenberg-Intellectual property services,Intellectual property services,Eric Blatt,Eric Blatt,Yes,2/2/23,,,,,,,,
Katie Rosenberg,*No Practice Group Selected / Restricted Matter,01242-Rosenberg-BEYOND SUNSCREEN,Trademark - US TM BEYOND SUNSCREEN,Lynne Boisineau,Eric Blatt,Yes,6/10/23,,,,,,,,
Ryan Croft,,01158-Croft-Intellectual property services,Intellectual property services,Eric Blatt,Eric Blatt,Yes,,,,,,,,,
Hydrova Inc.,,01159-Hydrova Inc.-Intellectual property services,Intellectual property services,Eric Blatt,Eric Blatt,Yes,7/8/24,,,,,,,,
Projectagram LLC,,01160-Projectagram LLC-Intellectual property services,Intellectual property services,Eric Blatt,Eric Blatt,Yes,5/3/23,,,,,,,,
HermTac LLC,,01161-HermTac LLC-Intellectual property services,Intellectual property services,Eric Blatt,Eric Blatt,Yes,7/8/24,,,,,,,,
HermTac LLC,*No Practice Group Selected / Restricted Matter,01241-HermTac LLC-Trademark - US TM HERMTAC,Trademark - US TM HERMTAC,Lynne Boisineau,Eric Blatt,Yes,4/5/22,,,,,,,,
Eidolon Optical LLC,,01162-Eidolon Optical LLC-Intellectual property services,Intellectual property services,Eric Blatt,Eric Blatt,No,,,,,,,,,
Joint Homes PBC,,01163-Joint Homes PBC-Intellectual property services,Intellectual property services,Eric Blatt,Eric Blatt,Yes,6/5/23,,,,,,,,
Joint Homes PBC,*No Practice Group Selected / Restricted Matter,01238-Joint Homes PBC-Trademark - US TM J JOINT (Stylized),Trademark - US TM J JOINT (Stylized),Eric Blatt,Eric Blatt,Yes,7/6/22,,,,,,,,
